JK,Code,Name,Market type,Industry,Market cap.
,007160,SajoInd,KOSPI,"Agriculture, Forestry and Fishing",248500000000
,004970,Silla,KOSPI,"Agriculture, Forestry and Fishing",187040000000
,054050,N.W BIO,KOSDAQ,"Agriculture, Forestry and Fishing",128725404830
,030720,DongwonFish,KOSPI,"Agriculture, Forestry and Fishing",35834298500
,154030,ASIA SEED,KOSDAQ,"Agriculture, Forestry and Fishing",28636160425
,024110,IBK,KOSPI,Banks,10661583868530
,323410,KakaoBank,KOSPI,Banks,10301604559200
,006220,Jeju BK,KOSPI,Banks,364661584900
,035760,CJ ENM,KOSDAQ,Broadcasting,1828891443600
,122450,KX,KOSDAQ,Broadcasting,200158281060
,048550,SM C&C,KOSDAQ,Broadcasting,188384495760
,066790,CCS,KOSDAQ,Broadcasting,179168107250
,040300,YTN,KOSDAQ,Broadcasting,150360000000
,039340,Korea Economic Broadcasting,KOSDAQ,Broadcasting,132940000000
,408900,MIR,KOSDAQ,Broadcasting,127226861260
,058400,KNN,KOSDAQ,Broadcasting,113492270040
,033830,TBC,KOSDAQ,Broadcasting,85700000000
,131100,TN entertainment,KOSDAQ,Broadcasting,51889266200
,051910,LGCHEM,KOSPI,Chemicals,25483835823000
,090430,AMOREPACIFIC,KOSPI,Chemicals,10914748829400
,096770,SK Innovation,KOSPI,Chemicals,10712812521000
,010950,S-Oil,KOSPI,Chemicals,7633113297600
,011790,SKC,KOSPI,Chemicals,7395678599400
,051900,LG H&H,KOSPI,Chemicals,6262896997000
,348370,Enchem,KOSDAQ,Chemicals,5749293330000
,161390,HANKOOK TIRE & TECHNOLOGY,KOSPI,Chemicals,5661090653300
,009830,HANWHA SOLUTIONS,KOSPI,Chemicals,5337263242800
,005070,CosmoAM&T,KOSPI,Chemicals,5266742472000
,001570,Kumyang,KOSPI,Chemicals,5137428274500
,011170,LOTTE CHEMICAL Corp,KOSPI,Chemicals,4876397766000
,011780,KumhoPetrochem,KOSPI,Chemicals,3987633043900
,278470,APR,KOSPI,Chemicals,2971869420000
,002790,AmoreG,KOSPI,Chemicals,2914896663000
,002380,KCC,KOSPI,Chemicals,2479325409000
,357780,Soulbrain,KOSDAQ,Chemicals,2372462630000
,192820,COSMAX,KOSPI,Chemicals,2098524214100
,000880,Hanwha,KOSPI,Chemicals,1978910604000
,014680,Hanchem,KOSPI,Chemicals,1977991527500
,051915,LGCHEM(1P),KOSPI,Chemicals,1960644000000
,073240,KUMHOTIRE,KOSPI,Chemicals,1913153511420
,457190,ISUSPECIALTYCHEMICAL,KOSPI,Chemicals,1643330432000
,161890,KOLMAR KOREA,KOSPI,Chemicals,1605145236000
,298020,HYOSUNG TNC,KOSPI,Chemicals,1590423135000
,121600,ANP,KOSDAQ,Chemicals,1541584259200
,298050,HYOSUNG ADVANCED,KOSPI,Chemicals,1494062658000
,018290,VT,KOSDAQ,Chemicals,1346005063200
,014820,DWS,KOSPI,Chemicals,1314754638700
,281740,LAKE,KOSDAQ,Chemicals,1310667127120
,004000,LOTTE Fine Chem,KOSPI,Chemicals,1197120000000
,000210,DL,KOSPI,Chemicals,1160955973600
,005420,COSMOCHEM,KOSPI,Chemicals,1133042726000
,120110,KOLON IND,KOSPI,Chemicals,1077372412650
,383310,ECOPRO HN,KOSDAQ,Chemicals,1033082910000
,352480,C&C INTERNATIONAL,KOSDAQ,Chemicals,1025427558400
,008730,YoulchonChem,KOSPI,Chemicals,984560000000
,365340,SungEel HiTech,KOSDAQ,Chemicals,976875308500
,002840,MiwonComcl,KOSPI,Chemicals,959500000000
,456040,OCI,KOSPI,Chemicals,922106985000
,006650,KPIC,KOSPI,Chemicals,911300000000
,285130,SKCHEM,KOSPI,Chemicals,867865284900
,093370,FOOSUNG,KOSPI,Chemicals,854824980100
,069260,TKG Huchems,KOSPI,Chemicals,809804828280
,002350,NEXENTIRE,KOSPI,Chemicals,793063161240
,278280,Chunbo,KOSDAQ,Chemicals,784000000000
,001340,PaikkwangInd,KOSPI,Chemicals,768104759700
,237880,CLIO Cosmetics,KOSDAQ,Chemicals,766225367200
,178920,PIAM,KOSPI,Chemicals,763524372000
,241710,COSMECCA KOREA,KOSDAQ,Chemicals,751872000000
,268280,MIWON SC,KOSPI,Chemicals,749000000000
,048410,HDBIO,KOSDAQ,Chemicals,744645369600
,014830,UNID,KOSPI,Chemicals,719395880000
,003240,TaekwangInd,KOSPI,Chemicals,713689400000
,114840,IFAMILYSC,KOSDAQ,Chemicals,708720092800
,018250,AEKYUNG INDUSTRIAL,KOSPI,Chemicals,625915459500
,161000,AK CHEMICAL,KOSPI,Chemicals,623676449380
,006380,CAPRO,KOSPI,Chemicals,618539985360
,101360,Eco&Dream,KOSDAQ,Chemicals,583073904700
,017860,DS Dansuk,KOSPI,Chemicals,574417592000
,090435,AMOREPACIFIC(1P),KOSPI,Chemicals,537393547000
,251970,PUM-TECH KOREA,KOSDAQ,Chemicals,531960000000
,950140,Englewood Lab,KOSDAQ,Chemicals,507623976300
