JK,Code,Name,Market type,Industry,Market cap.,P/E (TTM),5m Ranking,60d Ranking,YTD % Chg
,000416,Minsheng Holdings,SZSE,-,239340000,Loss,0,-0.7867,-0.7656
,002699,"Meisheng Cultural & Creative Corp.,",SZSE,-,372920000,Loss,0,-0.7303,-0.7421
,600823,Shanghai Shimao,SSE,-,1613000000,Loss,0,-0.5784,-0.6228
,000607,Zhejiang Huamei Holding,SZSE,Advertising Marketing,3327900000,44.794,0,-0.2063,-0.286
,000676,Genimous Technology,SZSE,Advertising Marketing,8131300000,26.652,0,-0.1833,-0.2703
,002027,Focus Media Information Technology,SZSE,Advertising Marketing,87375000000,17.741,-0.0017,-0.0382,0.01
,002264,New Huadu Supercenter,SZSE,Advertising Marketing,4074800000,17.687,0,0.2304,0.0272
,002291,Foshan Yowant Technology,SZSE,Advertising Marketing,4429600000,Loss,0.0042,-0.3497,-0.4925
,002354,Tianyu Digital Technology,SZSE,Advertising Marketing,5377400000,Loss,0.0031,-0.3434,-0.4112
,002400,Guangdong Advertising Group,SZSE,Advertising Marketing,8769000000,67.066,0,-0.1522,-0.0893
,002712,Simei Media,SZSE,Advertising Marketing,2530900000,Loss,0.0022,-0.1109,-0.1813
,002878,Beijing Yuanlong Yato Culture Dissemination,SZSE,Advertising Marketing,3429500000,56.394,0.0008,-0.1157,-0.292
,002995,Beijing Quanshi World Online Network Information,SZSE,Advertising Marketing,2464800000,Loss,0.0014,-0.2716,-0.3895
,600358,CHINA TOURISM AND CULTURE INVESTMENT GROUP,SSE,Advertising Marketing,1393600000,Loss,0,-0.3252,-0.4733
,600556,Inmyshow Digital Technology,SSE,Advertising Marketing,7122500000,80.408,0.0025,-0.2481,-0.3333
,600640,New Guomai Digital Culture,SSE,Advertising Marketing,8704900000,Loss,0.0018,-0.2355,-0.0462
,600986,Zhewen Interactive Group,SSE,Advertising Marketing,6544400000,36.363,0,-0.1522,-0.1941
,603598,"Inly Media Co., Ltd",SSE,Advertising Marketing,3525100000,74.35,0.0023,-0.3272,-0.3636
,603729,Shanghai LongYun Cultural Creation & Technology Group,SSE,Advertising Marketing,1316100000,Loss,-0.0007,-0.4554,-0.575
,603825,Hylink Digital Solutions,SSE,Advertising Marketing,2133100000,Loss,0,-0.2529,-0.303
,605168,Three's,SSE,Advertising Marketing,6332200000,14.542,0.0017,-0.3932,-0.3051
,000089,Shenzhen Airport,SZSE,Aeronautical Airports,13597000000,22.705,-0.0015,-0.0015,0.0311
,000099,Citic Offshore Helicopter,SZSE,Aeronautical Airports,13677000000,53.914,0,0.3237,1.0222
,002928,China Express Airlines,SZSE,Aeronautical Airports,8385300000,Loss,0.0015,0.1549,-0.0812
,600004,Guangzhou Baiyun International Airport,SSE,Aeronautical Airports,23667000000,40.485,0,-0.0512,0.0225
,600009,Shanghai International Airport,SSE,Aeronautical Airports,84932000000,59.877,0.0009,-0.0935,0.0412
,600029,China Southern Airlines,SSE,Aeronautical Airports,107820000000,Loss,0,0.0259,0.033
