JK,Issue code,Issue name,Listing date,Provider,Yield(The past year),Underlying index,Tracking error,AUM,Disparate ratio,Volatility,Replication method,TER,Taxation type
,466400,1Q 25-08 Corp Bond(A+) Active,2023/09/19,Hana Asset Management,0,KIS 2025-08 A+ Credit Bond(Total Return),0.16,113821329770,0.04,Very low,Physical(Active),0.1,Dividend income tax(tax on holding period)
,472350,1Q China H(H),2023/12/12,Hana Asset Management,0,HSCEI(Hang Seng China Enterprise Index),0.77,20855714271,-1.95,High,Physical(Passive),0.11,Dividend income tax(tax on holding period)
,451060,1Q K200 Active,2023/01/31,Hana Asset Management,14.56,KOSPI 200,0.8,153586015393,-0.28,Normal,Physical(Active),0.18,Dividend income tax(tax on holding period)
,479080,1Q Money Market Active,2024/04/02,Hana Asset Management,0,KIS-HANA MMF Index(Total Return),0.05,282941800427,0.03,Very low,Physical(Active),0.05,Dividend income tax(tax on holding period)
,463290,1Q Short-term Financial Bond Active,2023/08/03,Hana Asset Management,0,MK Money Market Index(Total Return),0.07,130718454869,0.03,Very low,Physical(Active),0.08,Dividend income tax(tax on holding period)
,365780,ACE 10Y KTB,2020/10/15,KOREA INVESTMENT TR,2.45,KIS 10Y KTB Index(Total Return),0.15,213445114278,-0.01,Very low,Physical(Passive),0.02,Dividend income tax(tax on holding period)
,105190,ACE 200,2008/09/25,KOREA INVESTMENT TR,12.69,KOSPI 200,0.72,503854388281,-0.45,Normal,Physical(Passive),0.09,Non taxable
,332500,ACE 200TR,2019/08/28,KOREA INVESTMENT TR,14.62,KOSPI 200 TR,0.17,42496135320,-0.57,Normal,Physical(Passive),0.03,Dividend income tax(tax on holding period)
,448880,ACE 24-12 Term Corporate Bond Active,2022/11/22,KOREA INVESTMENT TR,-1.1,"KIS Target Maturity Total Return Index 2024-12(Corp, Financial, above AA-)",0.15,235364911521,0.04,Very low,Physical(Active),0.05,Dividend income tax(tax on holding period)
,461260,ACE 25-06 Term Coporate Bond Active,2023/06/20,KOREA INVESTMENT TR,4.99,"KIS Target Maturity Total Return Index 2025-06(Corp, Financial, above AA-)",0.14,98046377853,-0.01,Very low,Physical(Active),0.05,Dividend income tax(tax on holding period)
,461270,ACE 26-06 Term Coporate Bond Active,2023/06/20,KOREA INVESTMENT TR,5.92,"KIS Target Maturity Total Return Index 2026-06(Corp, Financial, above AA-)",0.21,151125105351,0.05,Very low,Physical(Active),0.05,Dividend income tax(tax on holding period)
,469150,ACE AI Semiconductor Focus,2023/10/17,KOREA INVESTMENT TR,0,FnGuide AI Semiconductor Focus Index(Price Return),0.34,56141986088,-0.38,Very high,Physical(Passive),0.3,Non taxable
,272910,ACE Active Korea Treasury&Agency Bond,2017/06/29,KOREA INVESTMENT TR,5.18,KIS Korea Treasury & Agency Bonds 1-10Y,0.24,36642685123,-0.01,Very low,Physical(Active),0.08,Dividend income tax(tax on holding period)
,483420,ACE Apple Value Chain Active,2024/06/11,KOREA INVESTMENT TR,0,Bloomberg Top 30 Supply Chain Plus Apple Price Return Index,14.28,37646921208,-0.43,Very high,Physical(Active),0.45,Dividend income tax(tax on holding period)
,475280,ACE Aug Rollover Corporate Bond Active,2024/01/23,KOREA INVESTMENT TR,0,KAP Aug Maturity Rollover Corp Bond TR Index(above AA-),0.03,30826633814,0.06,Very low,Physical(Active),0.05,Dividend income tax(tax on holding period)
,435040,ACE Bloomberg Global Brand TOP10,2022/06/28,KOREA INVESTMENT TR,30.52,Bloomberg Global Select Industry Leaders TOP10 Index(PR),1.61,14071184222,0.39,Low,Physical(Passive),0.5,Dividend income tax(tax on holding period)
,168580,ACE CHINA A CSI300,2012/11/29,KOREA INVESTMENT TR,-4.43,CSI 300 Index,1.53,109483049626,-0.88,Low,Physical(Passive),0.7,Dividend Income Tax(Foreign Stock Investment ETF)
,371870,ACE China Hang Seng TECH,2020/12/16,KOREA INVESTMENT TR,-3.85,Hang Seng TECH Index,0.6,5525881153,-2.73,Very high,Physical(Passive),0.25,Dividend income tax(tax on holding period)
,416090,ACE China STAR50,2022/01/13,KOREA INVESTMENT TR,-24.9,STAR 50 Index(Price Return),0.79,4409036233,-2.56,High,Physical(Passive),0.5,Dividend income tax(tax on holding period)
,385590,ACE ESG Active,2021/05/25,KOREA INVESTMENT TR,14.68,MSCI Korea Country ESG Leaders Custom Capped Price return Index,5.37,27679728548,-0.23,Normal,Physical(Active),0.5,Dividend income tax(tax on holding period)
,385600,ACE EV Value Chain Active,2021/05/25,KOREA INVESTMENT TR,0.81,FnGuide Electric Vehicles Value Chain Index,17.81,21331999309,0.29,Very high,Physical(Active),0.29,Dividend income tax(tax on holding period)
,475260,ACE Feb Rollover Corporate Bond Active,2024/01/23,KOREA INVESTMENT TR,0,KAP Feb Maturity Rollover Corp Bond TR Index(above AA-),0.07,118208679974,0.05,Very low,Physical(Active),0.05,Dividend income tax(tax on holding period)
,380340,ACE Fn5G Plus,2021/04/02,KOREA INVESTMENT TR,41.98,FnGuide 5G Plus Price return Index,0.71,7586675150,0.02,Very high,Physical(Passive),0.35,Non taxable
