JK,Symbol,Name,Market type,Industry,Turnover,Market cap.,Amplitude,P/E,Turnover Ratio
,9201,Japan Airlines,JPX,Air Transportation,5.58B,1.117T,0.82%,11.697,0.55%
,9202,ANA Holdings,JPX,Air Transportation,6.17B,1.4T,1.56%,9.875,0.50%
,9204,Skymark Airlines,JPX,Air Transportation,293M,41.913B,1.52%,14.24,1.26%
,9206,Star Flyer,JPX,Air Transportation,5.54M,9.255B,0.38%,127.686,0.21%
,9232,Pasco,JPX,Air Transportation,30.9M,25.957B,1.62%,5.098,0.49%
,9233,Asia Air Survey,JPX,Air Transportation,20.1M,19.783B,1.11%,10.638,0.48%
,5830,Iyogin Holdings,JPX,Banks,909M,434.864B,1.33%,11.177,0.22%
,5831,Shizuoka Financial Group,JPX,Banks,3.66B,830.414B,2.41%,14.498,0.54%
,5832,Chugin Financial Group,JPX,Banks,485M,304.353B,1.31%,14.346,0.18%
,5838,Rakuten Bank,JPX,Banks,1.7B,502.858B,2.41%,14.525,0.70%
,5844,Kyoto Financial Group,JPX,Banks,2.38B,843.622B,1.62%,27.12,0.34%
,7150,The Shimane Bank,JPX,Banks,3.71M,4.615B,1.25%,17.867,0.14%
,7161,Jimoto Holdings,JPX,Banks,21.8M,10.081B,1.32%,-0.368,0.44%
,7163,SBI Sumishin Net Bank,JPX,Banks,5.62B,448.011B,3.04%,18.036,4.33%
,7167,Mebuki Financial Group,JPX,Banks,1.92B,628.828B,1.80%,14.966,0.35%
,7173,Tokyo Kiraboshi Financial Group,JPX,Banks,421M,143.107B,1.91%,7.743,0.40%
,7180,Kyushu Financial Group,JPX,Banks,1.19B,404.405B,2.03%,15.322,0.41%
,7182,Japan Post Bank,JPX,Banks,10.8B,5.435T,1.06%,15.27,0.55%
,7184,The First Bank of Toyama,JPX,Banks,418M,80.363B,2.65%,15.273,0.56%
,7186,Concordia Financial Group,JPX,Banks,5.47B,1.09T,4.66%,16.389,0.57%
,7189,Nishi-Nippon Financial Holdings,JPX,Banks,617M,278.189B,1.31%,11.8,0.30%
,7322,San Ju San Financial Group,JPX,Banks,99.5M,55.395B,1.60%,8.023,0.27%
,7327,Daishi Hokuetsu Financial Group,JPX,Banks,336M,223.808B,1.75%,10.764,0.20%
,7337,Hirogin Holdings,JPX,Banks,607M,373.593B,1.26%,13.616,0.23%
,7350,Okinawa Financial Group,JPX,Banks,105M,56.169B,2.05%,10.505,0.28%
,7380,Juroku Financial Group,JPX,Banks,241M,172.439B,1.49%,8.906,0.15%
,7381,Hokkoku Financial Holdings,JPX,Banks,849M,121.679B,1.33%,13.933,1.05%
,7384,Procrea Holdings,JPX,Banks,141M,55.728B,2.28%,19.782,0.33%
,7389,Aichi Financial Group,JPX,Banks,419M,131.748B,2.31%,15.984,0.51%
,8301,The Bank Of Japan,JPX,Banks,5.78M,29B,0.68%,0,0.02%
,8304,Aozora Bank,JPX,Banks,2.94B,308.995B,1.30%,-6.191,1.12%
,8306,Mitsubishi UFJ Financial Group,JPX,Banks,97B,19.459T,1.15%,13.389,0.58%
,8308,Resona Holdings,JPX,Banks,13.2B,2.423T,1.42%,15.427,0.58%
,8309,Sumitomo Mitsui Trust Holdings,JPX,Banks,11.2B,2.616T,1.15%,33.321,0.51%
,8316,Sumitomo Mitsui Financial Group,JPX,Banks,52.9B,13.717T,1.20%,14.427,0.42%
,8331,The Chiba Bank,JPX,Banks,3.14B,1.007T,1.55%,16.26,0.37%
,8334,Gunma Bank,JPX,Banks,1.36B,393.662B,1.24%,12.903,0.46%
,8336,Musashino Bank,JPX,Banks,161M,107.838B,1.24%,9.598,0.20%
,8337,Chiba Kogyo Bank,JPX,Banks,205M,57.145B,2.77%,18.905,0.55%
