JK,Code,Name,Industry,Market cap.,Amplitude,P/E,Turnover Ratio
,08588,CNC Holdings Limited,-,37193000,0.24468,0,0.00027
,08587,Goldway Education,-,22517000,0.06211,0,0.00041
,08586,Futian,-,3600000,0.08333,0,0.00955
,08582,Chong Fai Jewellery Group Holdings,-,16950000,0,0,0
,08581,Jiading International Group,-,11922000,0,0,0
,07855,TechStar Acquisition Corporation,-,1067000000,0,0,0
,07841,HK Acquisition Corporation,-,912956000,0,0,0
,07836,Aquila Acquisition Corporation,-,943726000,0,0,0
,07827,Vision Deal HK Acquisition Corp.,-,1095000000,0,0,0
,07801,Interra Acquisition Corporation,-,979729000,0,0,0
,02958,Labixiaoxin Snacks,-,152832000,0,0,0.00001
,02957,China Wood International Holding,-,162796000,0.12359,0,0.00012
,02956,Shin Hwa World,-,418399000,0.05454,0,0.0001
,02955,Renaissance,-,97864000,0,0,0
,02954,Guan Chao,-,73440000,0,0,0
,02953,Winshine Science,-,33037000,0,0,0
,02951,Best Linking Group,-,736000000,0,0,0
,02950,Qianhai Health,-,43208000,0,0,0
,09919,ACTIVATION GP,Advertisement and Promotion,856453000,0.01739,7.188,0.00005
,08627,ORANGE TOUR,Advertisement and Promotion,52000000,0,21.667,0
,08500,ICONCULTURE,Advertisement and Promotion,138240000,0.0909,-1.481,0.00107
,08429,SV VISION,Advertisement and Promotion,17280000,0,-2,0
,08403,DOWWAY,Advertisement and Promotion,112800000,0,-6.026,0
,08401,STREAM IDEAS,Advertisement and Promotion,43200000,0,-3.273,0
,08238,WINTO GROUP,Advertisement and Promotion,39191000,0.08333,-0.529,0.00061
,08153,JIADING INTL GP,Advertisement and Promotion,11188000,0.01612,-0.166,0.00038
,08121,GUOEN HOLDINGS,Advertisement and Promotion,19173000,0,6.053,0
,08112,CORNERSTONE FIN,Advertisement and Promotion,66531000,0,-1.368,0
,08093,MILLION STARS,Advertisement and Promotion,68720000,0.0204,-2.273,0.00007
,08091,OOH HOLDINGS,Advertisement and Promotion,25920000,0,-2.769,0
,08087,CHINA 33MEDIA,Advertisement and Promotion,17626000,0,-0.287,0
,08003,GREAT WORLD,Advertisement and Promotion,56486000,0,-0.971,0.00003
,06696,MANY IDEA CLOUD,Advertisement and Promotion,258000000,0.05581,7.167,0.00103
,06113,UTS MARKETING,Advertisement and Promotion,380000000,0,21.591,0
,02550,EASOU TECH,Advertisement and Promotion,5645000000,0.0235,204.286,0.00053
,02540,LESI GROUP,Advertisement and Promotion,1080000000,0.04109,15,0.00122
,02486,PLUS GP HOLDING,Advertisement and Promotion,295719000,0.10204,23.333,0.00442
,02422,REGO INTERACT,Advertisement and Promotion,562500000,0.07594,41.667,0.02009
,02405,POWERWIN TECH,Advertisement and Promotion,2272000000,0.075,40.571,0.00083
,02390,ZHIHU-W,Advertisement and Promotion,2201000000,0.06481,-2.364,0.00021
,02250,B.DUCK SEMK,Advertisement and Promotion,1069000000,0.07272,-23.191,0.00011
,02131,NETJOY,Advertisement and Promotion,461482000,0.08771,48.333,0.00007
,02013,WEIMOB INC,Advertisement and Promotion,4678000000,0.03311,-5.588,0.00948
,01993,ASIARAY,Advertisement and Promotion,586742000,0.03061,-26.889,0
,01948,UJU HOLDING,Advertisement and Promotion,648000000,0,6.467,0
,01917,DOUMOB,Advertisement and Promotion,167900000,0.5614,-18.25,0.00346
,01860,MOBVISTA,Advertisement and Promotion,4311000000,0.03284,25.327,0.00078
,01849,AM GROUP,Advertisement and Promotion,54400000,0.05714,-5.667,0.0002
,01831,SHIFANG HLDG,Advertisement and Promotion,67753000,0.10606,-0.356,0.00202
,01762,WANKA ONLINE,Advertisement and Promotion,181563000,0.096,10.818,0.00154
,01753,DUIBA,Advertisement and Promotion,306895000,0,9.194,0
,01716,MOST KWAI CHUNG,Advertisement and Promotion,117450000,0.04444,-5.724,0.00018
,01640,RUICHENG CHINA,Advertisement and Promotion,302400000,0,-11.667,0.00002
,01490,CHESHI TECH,Advertisement and Promotion,320996000,0,6.842,0.00008
,01351,BRIGHT FUTURE,Advertisement and Promotion,135600000,0,8.37,0
,01284,NEW MEDIA LAB,Advertisement and Promotion,168000000,0.03508,11.667,0.00018
,01163,ADTIGER CORP,Advertisement and Promotion,98604000,0,-8.25,0
,01111,HUASHI GROUP,Advertisement and Promotion,254315000,0,3.548,0
,00917,QUNABOX GROUP,Advertisement and Promotion,12807000000,0.04083,88.636,0.00121
