JK,Code,Name,Market type,Industry,Market cap.,P/E,Turnover Ratio,Rise rate
,600640,New Guomai Digital Culture,SHE,Advertising Marketing,8307000000,1491.429,0.00458,0
,600556,Inmyshow Digital Technology,SHE,Advertising Marketing,6598000000,71.569,0.00784,0
,600986,Zhewen Interactive Group,SHE,Advertising Marketing,6232000000,32.481,0.0087,-0.00238
,605168,Three's,SHE,Advertising Marketing,5998000000,11.36,0.00771,0
,603598,"Inly Media Co., Ltd",SHE,Advertising Marketing,3319000000,69.218,0.02568,0
,603825,Hylink Digital Solutions,SHE,Advertising Marketing,2140000000,-3.108,0.07495,0.00118
,600358,CHINA TOURISM AND CULTURE INVESTMENT GROUP,SHE,Advertising Marketing,1449000000,-114.8,0.0531,0
,603729,Shanghai LongYun Cultural Creation & Technology Group,SHE,Advertising Marketing,1233000000,-23.505,0.0291,-0.00075
,002027,Focus Media Information Technology,SZSE,Advertising Marketing,87953000000,18.234,0.00779,-0.00327
,002400,Guangdong Advertising Group,SZSE,Advertising Marketing,8438000000,55,0.0078,0
,000676,Genimous Technology,SZSE,Advertising Marketing,8029000000,26.88,0.06241,-0.00316
,002354,Tianyu Digital Technology,SZSE,Advertising Marketing,4980000000,-4.581,0.02348,0
,002291,Foshan Yowant Technology,SZSE,Advertising Marketing,4029000000,-3.839,0.01862,0
,002264,New Huadu Supercenter,SZSE,Advertising Marketing,4010000000,19.964,0.03919,-0.00357
,002878,Beijing Yuanlong Yato Culture Dissemination,SZSE,Advertising Marketing,3234000000,136.154,0.01258,0
,000607,Zhejiang Huamei Holding,SZSE,Advertising Marketing,3206000000,36.207,0.0047,0.00318
,002712,Simei Media,SZSE,Advertising Marketing,2346000000,-17.449,0.03141,0
,002995,Beijing Quanshi World Online Network Information,SZSE,Advertising Marketing,2310000000,-88.571,0.01722,0
,300058,BlueFocus Intelligent Communications Group,SZSE,Advertising Marketing,13806000000,118.085,0.01033,-0.00179
,301171,Easy Click Worldwide Network Technology,SZSE,Advertising Marketing,6861000000,31.609,0.02091,0
,300781,Guangdong Insight Brand Marketing Group,SZSE,Advertising Marketing,4533000000,109.048,0.04036,0.00024
,301102,Mega-info Media,SZSE,Advertising Marketing,3463000000,25.788,0.02569,-0.00083
,300063,Guangdong Tloong Technology Group,SZSE,Advertising Marketing,3004000000,220,0.02488,0
,300805,Guangdong Brandmax Marketing,SZSE,Advertising Marketing,2640000000,80,0.01302,0
,300061,QITIAN Technology Group,SZSE,Advertising Marketing,2353000000,-4.747,0.01303,0
,300612,Shunya International Martech,SZSE,Advertising Marketing,2341000000,-29.817,0.01267,-0.0023
,300280,Fujian Zitian Media Technology,SZSE,Advertising Marketing,2110000000,-1.744,0.05205,-0.00076
,300071,FS Development Investment Holdings,SZSE,Advertising Marketing,1953000000,-89.565,0.01684,-0.00483
,300242,KAISA JiaYun Technology Inc.,SZSE,Advertising Marketing,1079000000,-11.258,0.02257,0
,601111,Air China Limited,SHE,Aeronautical Airports,121134000000,-115.873,0.00273,-0.00273
,600029,China Southern Airlines,SHE,Aeronautical Airports,104739000000,-24.914,0.00396,-0.00687
,600115,China Eastern Airlines Corporation,SHE,Aeronautical Airports,87828000000,-10.765,0.00223,-0.00253
,600009,Shanghai International Airport,SHE,Aeronautical Airports,81373000000,87.2,0.00445,-0.00426
,601021,Spring Airlines,SHE,Aeronautical Airports,54897000000,24.317,0.00225,-0.00302
,600221,Hainan Airlines Holding,SHE,Aeronautical Airports,52723000000,174.286,0.00323,0
,603885,Juneyao Airlines,SHE,Aeronautical Airports,25505000000,33.982,0.00308,0.00086
,600004,Guangzhou Baiyun International Airport,SHE,Aeronautical Airports,22578000000,51.016,0.0044,-0.00209
,600897,Xiamen International Airport,SHE,Aeronautical Airports,5374000000,15.183,0.00283,0.00077
,000089,Shenzhen Airport,SZSE,Aeronautical Airports,13330000000,33.679,0.00393,0
,000099,Citic Offshore Helicopter,SZSE,Aeronautical Airports,13266000000,55.519,0.06868,-0.00058
,002928,China Express Airlines,SZSE,Aeronautical Airports,8194000000,-8.49,0.00827,-0.00155
,600760,AVIC Shenyang Aircraft,SHE,Aeronautical Equipment II,111082000000,36.948,0.00203,0
,600893,AECC Aviation Power,SHE,Aeronautical Equipment II,98307000000,69.193,0.00385,-0.00566
,600372,AVIC Airborne Systems,SHE,Aeronautical Equipment II,58212000000,30.846,0.00358,0
,600038,AVICOPTER PLC,SHE,Aeronautical Equipment II,29623000000,66.926,0.00538,-0.00246
,600765,Avic Heavy Machinery,SHE,Aeronautical Equipment II,29201000000,21.973,0.00895,-0.0005
,600862,Avic Aviation High-Technology,SHE,Aeronautical Equipment II,27387000000,26.568,0.00673,0.0005
,600316,Jiangxi Hongdu Aviation Industry,SHE,Aeronautical Equipment II,12184000000,377.556,0.00654,-0.00058
,605123,Wuxi Paike New Materials Technology,SHE,Aeronautical Equipment II,7104000000,14.437,0.00382,-0.00255
,600391,Aecc Aero Science And Technology,SHE,Aeronautical Equipment II,5087000000,105.548,0.00705,0
,603261,Chengdu Lihang Technology,SHE,Aeronautical Equipment II,2340000000,-34.266,0.15966,-0.00033
,688122,Western Superconducting Technologies,SHE,Aeronautical Equipment II,26552000000,35.294,0.00536,-0.00146
,688563,Baimtec Material,SHE,Aeronautical Equipment II,24008000000,41.68,0.00635,-0.00466
,688297,Avic(chengdu)Uas,SHE,Aeronautical Equipment II,23240000000,76.853,0.00758,0
,688281,Shaanxi Huaqin Technology Industry,SHE,Aeronautical Equipment II,16740000000,49.959,0.01037,0.00151
,688586,Hefei Jianghang Aircraft Equipment,SHE,Aeronautical Equipment II,7510000000,38.893,0.00543,0
,688239,Guizhou Aviation Technical Development,SHE,Aeronautical Equipment II,5157000000,27.782,0.01912,0
,688510,Wuxi Hyatech,SHE,Aeronautical Equipment II,4765000000,52.837,0.00548,-0.00162
,688685,Jiangsu Maixinlin Aviation Science and Technology Corp.,SHE,Aeronautical Equipment II,3534000000,231.429,0.02266,0.00496
,688070,"Chengdu Jouav Automation Tech Co.,Ltd.",SHE,Aeronautical Equipment II,2630000000,-40.802,0.00634,0.00434
,688237,Hubei Chaozhuo Aviation Technology,SHE,Aeronautical Equipment II,1865000000,-53.223,0.01128,0
,688287,Guandian Defense Technology,SHE,Aeronautical Equipment II,1856000000,73.676,0.01345,-0.00397
,000768,Avic Xi’An Aircraft Industry Group,SZSE,Aeronautical Equipment II,66845000000,77.516,0.00542,-0.00041
,002625,Kuang-Chi Technologies,SZSE,Aeronautical Equipment II,38244000000,65.498,0.00863,0.00056
,000738,AECC Aero-Engine Control,SZSE,Aeronautical Equipment II,26409000000,36.377,0.00513,-0.00149
,002389,Aerospace CH UAV,SZSE,Aeronautical Equipment II,14000000000,91.234,0.00769,0
,002985,"Beijing Bei Mo Gao Ke Friction Material Co., Ltd.",SZSE,Aeronautical Equipment II,7510000000,34.55,0.01072,0
,002023,Sichuan Haite High-Tech,SZSE,Aeronautical Equipment II,7046000000,150.952,0.01296,-0.00314
,002651,Chengdu Leejun Industrial,SZSE,Aeronautical Equipment II,5705000000,46.387,0.00668,0
,002111,Weihai Guangtai Airport Equipment,SZSE,Aeronautical Equipment II,5562000000,44.177,0.01218,-0.00095
,000697,Ligeance Aerospace Technology,SZSE,Aeronautical Equipment II,5308000000,-20.267,0.01489,0
,000561,Shaanxi Fenghuo Electronics,SZSE,Aeronautical Equipment II,3934000000,74.828,0.0077,-0.00153
,002297,HuNan Boyun New Materials,SZSE,Aeronautical Equipment II,3444000000,117.843,0.0154,-0.00166
,002933,Beijing Emerging Eastern Aviation Equipment,SZSE,Aeronautical Equipment II,2697000000,189.917,0.00993,0
,300699,Weihai Guangwei Composites,SZSE,Aeronautical Equipment II,21158000000,24.238,0.00539,-0.00313
,300395,Hubei Feilihua Quartz Glass,SZSE,Aeronautical Equipment II,16333000000,30.387,0.00986,0
,300775,Xi'an Triangle Defense,SZSE,Aeronautical Equipment II,16023000000,19.676,0.01887,0.00034
,300034,Gaona Aero Material,SZSE,Aeronautical Equipment II,12007000000,37.597,0.01278,-0.00193
,300777,Sinofibers Technology,SZSE,Aeronautical Equipment II,10140000000,35.046,0.00768,0
,300900,Guanglian Aviation Industry,SZSE,Aeronautical Equipment II,5574000000,53.327,0.05125,-0.00076
,300696,Chengdu ALD Aviation Manufacturing Corporation,SZSE,Aeronautical Equipment II,4623000000,67.106,0.16579,-0.00126
,300719,Beijing Andawell Science& Technology,SZSE,Aeronautical Equipment II,4467000000,39.327,0.08402,-0.00056
,300581,"Xi'an ChenXi Aviation Technology Corp.,Ltd.",SZSE,Aeronautical Equipment II,4357000000,792,0.01541,-0.00126
,300424,Guangzhou Hangxin Aviation Technology,SZSE,Aeronautical Equipment II,2920000000,121.7,0.03699,0
,300965,Beijing Hengyu Datacom Aviation Equipment,SZSE,Aeronautical Equipment II,1601000000,-9.566,0.01357,-0.00224
,601825,Shanghai Rural Commercial Bank,SHE,Agricultural Commercial Bank II,65968000000,5.433,0.004,-0.00145
,601077,Chongqing Rural Commercial Bank,SHE,Agricultural Commercial Bank II,56444000000,5.177,0.00456,-0.004
,601128,Jiangsu Changshu Rural Commercial Bank,SHE,Agricultural Commercial Bank II,22100000000,6.737,0.0069,-0.00136
,600908,Wuxi Rural Commercial Bank,SHE,Agricultural Commercial Bank II,11544000000,5.244,0.00542,-0.00189
,601528,Zhejiang Shaoxing RuiFeng Rural Commercial Bank,SHE,Agricultural Commercial Bank II,9281000000,5.375,0.01108,-0.0021
,601860,Jiangsu Zijin Rural Commercial Bank,SHE,Agricultural Commercial Bank II,9116000000,5.633,0.00768,0
,603323,Jiangsu Suzhou Rural Commercial Bank,SHE,Agricultural Commercial Bank II,8479000000,4.865,0.0096,0
,002958,Qingdao Rural Commercial Bank Corporation,SZSE,Agricultural Commercial Bank II,14667000000,5.714,0.0058,0
,002807,Jiangsu Jiangyin Rural Commercial Bank,SZSE,Agricultural Commercial Bank II,9132000000,4.837,0.00905,-0.00268
,002839,Jiangsu Zhangjiagang Rural Commercial Bank,SZSE,Agricultural Commercial Bank II,8527000000,4.769,0.00748,0
,600426,Shandong Hualu-Hengsheng Chemical,SHE,Agrochemicals,57096000000,15.968,0.00379,-0.00222
,600096,Yunnan Yuntianhua,SHE,Agrochemicals,36356000000,8.041,0.01094,-0.01686
,600486,Jiangsu Yangnong Chemical,SHE,Agrochemicals,22879000000,14.62,0.00414,-0.00212
,600141,Hubei Xingfa Chemicals Group,SHE,Agrochemicals,21988000000,15.944,0.00711,0
,603077,Sichuan Hebang Biotechnology,SHE,Agrochemicals,15190000000,11.862,0.00756,-0.00578
,600331,Sichuan Hongda,SHE,Agrochemicals,12680000000,-132.766,0.01367,-0.0016
,603599,Anhui Guangxin Agrochemical,SHE,Agrochemicals,11579000000,8.046,0.00342,-0.00313
,600596,Zhejiang Xinan Chemical Industrial Group,SHE,Agrochemicals,10419000000,74.231,0.00582,-0.00387
,600389,Nantong Jiangshan Agrochemical & Chemicals,SHE,Agrochemicals,6460000000,22.831,0.01216,0
,603360,Dalian Bio-Chem,SHE,Agrochemicals,5968000000,18.172,0.00582,0.00084
,603970,Sino-Agri Leading Biosciences,SHE,Agrochemicals,4849000000,21.579,0.00425,-0.0011
,600078,Jiangsu Chengxing Phosph-Chemical,SHE,Agrochemicals,4651000000,-76.304,0,0
,603639,Hailir Pesticides And Chemicals Group,SHE,Agrochemicals,4185000000,8.843,0.00293,0
,600691,Yangmei Chemical,SHE,Agrochemicals,4039000000,-2.957,0.0161,0
,600731,Hunan Haili Chemical Industry,SHE,Agrochemicals,2693000000,9.837,0.00519,0.00416
,600227,Guizhou Chitianhua,SHE,Agrochemicals,2252000000,-19,0.01042,-0.00746
,600470,Anhui Liuguo Chemical,SHE,Agrochemicals,2039000000,88.864,0.00521,-0.00508
,600423,Liuzhou Chemical Industry,SHE,Agrochemicals,1869000000,25.435,0.00497,0
,603585,"Suli Co.,Ltd.",SHE,Agrochemicals,1805000000,89.554,0.00258,0
,605033,Shaanxi Meibang Pharmaceutical Group,SHE,Agrochemicals,1724000000,29.93,0.01395,0.00314
,603086,ShanDong Cynda Chemical,SHE,Agrochemicals,1709000000,-17.467,0.00613,0
,603810,Jiangsu Fengshan Group,SHE,Agrochemicals,1411000000,-36.034,0.01242,0.0047
,000792,Qinghai Salt Lake Industry,SZSE,Agrochemicals,95075000000,12.011,0.01658,-0.00737
,000893,Asia-Potash International Investment,SZSE,Agrochemicals,16310000000,13.203,0.00839,0.00056
,000902,YONFER Agricultural Technology,SZSE,Agrochemicals,14969000000,12.401,0.00353,0.00083
,000422,Hubei Yihua Chemical Industry,SZSE,Agrochemicals,13244000000,29.252,0.02146,0.0016
,002312,Sichuan Development Lomon,SZSE,Agrochemicals,13164000000,31.781,0.00751,0
,000553,ADAMA Ltd.,SZSE,Agrochemicals,11043000000,-6.88,0.00189,0
,002895,Guizhou Chanhen Chemical Corporation,SZSE,Agrochemicals,9887000000,12.9,0.01484,0
,002539,Chengdu Wintrue Holding,SZSE,Agrochemicals,8889000000,9.973,0.0077,0
,002545,Qingdao East Steel Tower Stock,SZSE,Agrochemicals,8696000000,13.733,0.00773,0
,002588,Stanley Agriculture Group,SZSE,Agrochemicals,8364000000,11.931,0.0163,-0.00275
,002215,Shenzhen Noposion Agrochemicals,SZSE,Agrochemicals,7766000000,32.918,0.00935,-0.0013
,002749,Sichuan Guoguang Agrochemical,SZSE,Agrochemicals,7084000000,23.446,0.0062,-0.00124
,002258,Lier Chemical,SZSE,Agrochemicals,6652000000,11.021,0.00369,0.0012
,000912,Sichuan Lutianhua,SZSE,Agrochemicals,5582000000,37.083,0.00258,-0.00558
