Date,APPL,AMZN,MSFT,GS,PFZR,SPX,UST3M (Rf)
1999.5.31,0,0,0,0,0,0,0
1999.6.30,0.0741080,0.0521686,0.1113170,0.0615074,0.0184621,0.05303783643,0.003800
1999.7.30,0.1743534,-0.2223047,-0.0495556,-0.1164172,-0.0700512,-0.0325571789,0.003800
1999.8.31,0.1484200,0.2163728,0.0756050,-0.0725423,0.1085010,-0.00616987928,0.003900
1999.9.30,-0.0173917,0.2503313,-0.0218445,0.0197010,-0.0510139,-0.02903960981,0.003900
1999.10.29,0.2336149,-0.1230705,0.0218445,0.1518060,0.1008812,0.06094528939,0.004100
1999.11.30,0.1892420,0.1859019,-0.0165581,0.0565401,-0.0802199,0.0186083961,0.004200
1999.12.31,0.0558805,-0.1101267,0.2488216,0.2260941,-0.1214259,0.05627765082,0.004300
2000.1.31,0.0108109,-0.1645515,-0.1763783,-0.0275553,0.1092554,-0.05245813941,0.004400
2000.2.29,0.0923733,0.0626704,-0.0908453,0.0094499,-0.1190594,-0.02019524902,0.004600
2000.3.31,0.1708177,-0.0266565,0.1729920,0.1291298,0.1295003,0.09248708018,0.004700
2000.4.28,-0.0862603,-0.1928243,-0.4208281,-0.1210544,0.1415416,-0.03131592626,0.004700
2000.5.31,-0.3920421,-0.1327818,-0.1089347,-0.2371827,0.0548183,-0.02242470998,0.004800
2000.6.30,0.2258067,-0.2869933,0.2459005,0.2533515,0.0757662,0.02391615507,0.004700
2000.7.31,-0.0324353,-0.1845824,-0.1361061,0.0405307,-0.1012177,-0.01643178258,0.005000
2000.8.31,0.1804884,0.3196274,0.0000000,0.2716973,-0.0053646,0.05888837325,0.005100
2000.9.29,-0.8627065,-0.0764799,-0.1462568,-0.1269563,0.0402546,-0.05500711928,0.005000
2000.10.31,-0.2732933,-0.0481540,0.1327021,-0.1334562,-0.0392771,-0.005292548762,0.005100
2000.11.30,-0.1541507,-0.3961059,-0.1826700,-0.1949650,0.0258001,-0.08319619832,0.005100
2000.12.29,-0.1053605,-0.4616948,-0.2796973,0.2639646,0.0373788,0.004018901805,0.004800
2001.1.31,0.3677248,0.1106166,0.3418585,0.0617351,-0.0187484,0.03386043345,0.004300
2001.2.28,-0.1670541,-0.5339133,-0.0343195,-0.2149356,-0.0032764,-0.09706894792,0.004100
2001.3.30,0.1670541,0.0048948,-0.0760394,-0.0752405,-0.0943261,-0.0664751301,0.003700
2001.4.30,0.1650798,0.4324417,0.2144740,0.0681308,0.0558553,0.07396826837,0.003200
2001.5.31,-0.2451225,0.0560664,0.0207398,0.0429712,-0.0095460,0.005123632539,0.003000
2001.6.29,0.1541507,-0.1650951,0.0537476,-0.1029100,-0.0684484,-0.0255090782,0.002900
2001.7.31,-0.2113091,-0.1247863,-0.0977790,-0.0312525,0.0285585,-0.01070556252,0.002900
2001.8.31,-0.0298530,-0.3343927,-0.1485771,-0.0374906,-0.0729864,-0.06589362704,0.002800
2001.9.28,-0.1643031,-0.4021150,-0.1087545,-0.1156785,0.0454807,-0.0854985592,0.002200
2001.10.31,0.1017827,0.1546283,0.1278490,0.0911607,0.0440056,0.01786433099,0.001800
2001.11.30,0.2035990,0.4835222,0.0991169,0.1298784,0.0331796,0.07242748989,0.001600
2001.12.31,0.0259755,-0.0451748,0.0312717,0.0412713,-0.0832545,0.007586918429,0.001400
2002.1.31,0.1206280,0.2718457,-0.0390879,-0.0642295,0.0445208,-0.01580668587,0.001400
2002.2.28,-0.1206280,-0.0077766,-0.0882105,-0.0719701,-0.0171075,-0.02077318864,0.001400
2002.3.29,0.0741080,0.0189812,0.0333758,0.1088755,-0.0303291,0.03597886846,0.001500
2002.4.30,0.0235305,0.1509622,-0.1434325,-0.1363053,-0.0890648,-0.06331888526,0.001400
2002.5.31,-0.0235305,0.0882083,-0.0259755,-0.0428081,-0.0493707,-0.009072788576,0.001400
2002.6.28,-0.2719337,-0.1130656,0.0716079,-0.0282277,0.0115188,-0.07499029844,0.001400
2002.7.31,-0.1698990,-0.1212420,-0.1310795,-0.0027304,-0.0786623,-0.08273871753,0.001400
2002.8.30,-0.0377403,0.0340632,0.0226674,0.0551818,0.0222482,0.00510866574,0.001400
2002.9.30,0.0000000,0.0654591,-0.1151886,-0.1575848,-0.1309836,-0.1167033869,0.001400
2002.10.31,0.1091993,0.1943774,0.2010447,0.0809859,0.0906398,0.08293614972,0.001300
2002.11.29,-0.0350913,0.1925139,0.0756027,0.0967059,-0.0076654,0.05553690719,0.001000
2002.12.31,-0.0741080,-0.2170903,-0.1094527,-0.1468237,-0.0309180,-0.06213848814,0.001000
2003.1.31,0.0000000,0.1483105,-0.0855705,0.0000000,-0.0069252,-0.02796023514,0.001000
2003.2.28,0.0377403,0.0045537,-0.0012650,0.0196299,-0.0178795,-0.01680038573,0.001000
2003.3.31,-0.0769610,0.1677528,0.0212907,-0.0199236,0.0439441,0.008093760904,0.000900
2003.4.30,0.0000000,0.0976474,0.0542629,0.1087332,-0.0132904,0.0777446698,0.000900
2003.5.30,0.2468601,0.2241187,-0.0378758,0.0711863,0.0088798,0.04974922959,0.000900
2003.6.30,0.0606246,0.0124535,0.0410008,0.0272332,0.0958973,0.01138837585,0.000800
2003.7.31,0.1112256,0.1355920,0.0295891,0.0396798,-0.0234422,0.01588441378,0.000800
2003.8.29,0.0512933,0.1073758,0.0041564,0.0153735,-0.1088101,0.01783010035,0.000800
2003.9.30,-0.0779615,0.0422360,0.0471369,-0.0532639,0.0153957,-0.01200187998,0.000800
2003.10.31,0.1026542,0.1182424,-0.0615693,0.1126048,0.0394878,0.05319945972,0.000800
2003.11.28,-0.1026542,-0.0079314,-0.0165867,0.0229508,0.0602319,0.007575111476,0.000800
2003.12.31,0.0266682,-0.0239892,0.0625675,0.0272077,0.0511519,0.04852162248,0.000800
2004.1.30,0.0512933,-0.0450037,0.0101782,0.0082712,0.0360690,0.0178174858,0.000700
2004.2.27,0.0723207,-0.1580936,-0.0413496,0.0615519,0.0005759,0.01233314708,0.000800
2004.3.31,0.1100009,0.0057931,-0.0622043,-0.0144613,-0.0444387,-0.0168333097,0.000800
2004.4.30,-0.0425596,0.0069077,0.0470122,-0.0756203,0.0199619,-0.01655268241,0.000800
2004.5.31,0.0833816,0.1071716,0.0038197,-0.0297935,-0.0118696,0.01228187131,0.000900
2004.6.30,0.1484200,0.1147780,0.0851033,0.0026586,-0.0303053,0.01765843498,0.001100
2004.7.30,0.0000000,-0.3358108,-0.0024540,-0.0655019,-0.0700924,-0.03498088129,0.001100
2004.8.31,0.0504309,-0.0202604,-0.0426664,0.0164196,0.0218713,0.001957710467,0.001200
2004.9.30,0.1232326,0.0708978,0.0127390,0.0392636,-0.0653784,0.009381701179,0.001400
2004.10.29,0.3091883,-0.1809048,0.0115068,0.0536607,-0.0556388,0.01361316748,0.001500
2004.11.30,0.2441970,0.1491167,-0.0423576,0.0628345,-0.0416727,0.038366101,0.001700
2004.12.31,-0.0425596,0.1104949,-0.0033626,-0.0068966,-0.0320429,0.03193788888,0.001800
2005.1.31,0.1750488,-0.0240094,-0.0166042,0.0359659,-0.1071493,-0.02592686759,0.001900
2005.2.28,0.1551929,-0.2041740,-0.0435528,0.0087700,0.0845338,0.01881658737,0.002100
2005.3.31,-0.0712275,-0.0267526,-0.0401432,0.0108781,-0.0008029,-0.019282253,0.002300
2005.4.29,-0.1441339,-0.0582223,0.0456922,-0.0295252,0.0339551,-0.02043899243,0.002300
2005.5.31,0.0960147,0.0951416,0.0195701,-0.0910119,0.0264333,0.02710692173,0.002400
2005.6.30,-0.0806297,-0.0737406,-0.0379192,0.0453165,-0.0117895,0.002369470247,0.002500
2005.7.29,0.1486832,0.3116662,0.0305276,0.0521359,-0.0398024,0.03559734211,0.002700
2005.8.31,0.1000835,-0.0560256,0.0668299,0.0338457,-0.0393800,-0.01151797429,0.002900
2005.9.30,0.1335314,0.0595631,-0.0621552,0.0894220,-0.0200760,0.006955981838,0.002900
2005.10.31,0.0703808,-0.1279036,-0.0011666,0.0386416,-0.1384320,-0.01806954152,0.003100
2005.11.30,0.1610616,0.1949082,0.0742191,0.0202882,-0.0250566,0.03481075632,0.003200
2005.12.30,0.0562397,-0.0271983,-0.0568609,-0.0097402,0.0953102,-0.001200855153,0.003200
2006.1.31,0.0495339,-0.0538080,0.0736982,0.1007693,0.0960911,0.0253105985,0.003500
2006.2.28,-0.0934532,-0.1767863,-0.0465369,0.0002831,0.0199315,0.0003748243055,0.003700
2006.3.31,-0.0896122,-0.0235114,0.0125741,0.1051765,-0.0499588,0.01138060833,0.003800
2006.4.28,0.1138069,-0.0376141,-0.1193002,0.0209937,0.0163766,0.01209941221,0.003800
2006.5.31,-0.1641608,-0.0200752,-0.0641245,-0.0600360,-0.0680711,-0.0315934804,0.003900
2006.6.30,-0.0431722,0.1140423,0.0282935,-0.0034508,-0.0080573,0.0005272165841,0.004000
2006.7.31,0.1749414,-0.3649430,0.0320973,0.0153047,0.1020291,0.004654182835,0.004100
2006.8.31,-0.0041237,0.1375256,0.0659403,-0.0272080,0.0587129,0.02102110868,0.004100
2006.9.29,0.1278334,0.0416263,0.0622255,0.1293096,0.0282984,0.02420963565,0.004000
2006.10.31,0.0496556,0.1698990,0.0485290,0.1150141,-0.0621604,0.03089094232,0.004100
2006.11.30,0.1235335,0.0579022,0.0223877,0.0260552,0.0311795,0.01659472608,0.004100
2006.12.29,-0.0762274,-0.0220505,0.0168866,0.0230887,-0.0596897,0.01237000481,0.004000
2007.1.31,0.0098523,-0.0464114,0.0329411,0.0622786,0.0129504,0.01427100882,0.004200
2007.2.28,-0.0131581,0.0398024,-0.0912033,-0.0503114,-0.0498764,-0.02235377689,0.004200
2007.3.30,0.0947080,0.0146838,-0.0107067,0.0239004,0.0121825,0.00980129619,0.004100
2007.4.30,0.0726008,0.4328165,0.0716445,0.0563596,0.0461024,0.04271178012,0.004100
2007.5.31,0.1953088,0.1197013,0.0247415,0.0543489,0.0383309,0.03204892127,0.003900
2007.6.29,0.0045977,-0.0101760,-0.0405641,-0.0628936,-0.0723974,-0.01860009859,0.003800
2007.7.31,0.0772159,0.1377779,-0.0164219,-0.1404958,-0.0838660,-0.03199402301,0.004000
2007.8.31,0.0496997,0.0166649,-0.0090091,-0.0677080,0.0549877,0.01243778449,0.003500
2007.9.28,0.1017175,0.1539181,0.0250915,0.2081577,-0.0166992,0.03554084537,0.003200
2007.10.31,0.2128720,-0.0439981,0.2227361,0.1344076,0.0073134,0.01465620515,0.003300
2007.11.30,-0.0421749,0.0154714,-0.0912435,-0.0897433,-0.0353363,-0.04459547718,0.002700
2007.12.31,0.0840583,0.0241160,0.0578196,-0.0524923,-0.0440280,-0.009210471041,0.002500
2008.1.31,-0.3830866,-0.1779538,-0.0880333,-0.0748057,0.0270101,-0.06350458794,0.002300
2008.2.29,-0.0753855,-0.1845138,-0.1810953,-0.1624452,-0.0471655,-0.03434846586,0.001800
